"Pl_HostName","Pl_Letter","Pl_Name","Pl_DiscoveryMethod","Pl_DiscoveryYear","Pl_OrbitalPeriod","Pl_SemiMajorAxis","Pl_Eccentricity","Pl_MassEarth","Pl_RadiusEarth","Pl_Density","Pl_EquilibriumTemp","Pl_InsolationFlux","Pl_NumStars","St_Distance","St_OpticalMagnitude","St_SpectralType","St_EffectiveTemp","St_SurfaceGravity","St_Luminosity","St_MassSolar","St_RadiusSolar","St_Metallicity","St_MetallicityRatio","St_Age"
"KOI-351","e","KOI-351 e","Transit",2013,91.93913,0.42,NA,7.56,2.66,2.21,NA,10.23,1,780,13.74,"",6080,4.4,0.25,1.2,1.2,-0.12,"[M/H]",NA
"KOI-351","f","KOI-351 f","Transit",2013,124.9144,0.48,NA,8.65,2.88,1.99,NA,6.8,1,780,13.74,"",6080,4.4,0.25,1.2,1.2,-0.12,"[M/H]",NA
"KOI-351","g","KOI-351 g","Transit",2013,210.60697,0.71,NA,254.264,8.1,NA,NA,3.39,1,780,13.74,"",6080,4.4,0.25,1.2,1.2,-0.12,"[M/H]",NA
"KOI-351","h","KOI-351 h","Transit",2013,331.60059,1.01,NA,381.396,11.3,NA,NA,1.85,1,780,13.74,"",6080,4.4,0.25,1.2,1.2,-0.12,"[M/H]",NA
"KOI-351","i","KOI-351 i","Transit",2017,14.44912,NA,NA,2.3,1.32,5.5,709,NA,1,780,13.74,"",6080,4.4,0.25,1.2,1.2,-0.12,"[M/H]",NA
"KOI-55","b","KOI-55 b","Orbital Brightness Modulation",2011,0.240104,0.006,NA,0.44,0.759,5.53,NA,NA,1,1180,14.87,"B",27730,5.52,1.36,0.5,0.2,-0.106,"[Fe/H]",NA
"KOI-55","c","KOI-55 c","Orbital Brightness Modulation",2011,0.342887,0.0076,NA,0.655,0.867,5.52,NA,NA,1,1180,14.87,"B",27730,5.52,1.36,0.5,0.2,-0.106,"[Fe/H]",NA
"KOI-94","b","KOI-94 b","Transit",2013,3.743208,0.05119,0.25,10.5,1.71,10.1,1486,1053.18,1,462,12.188,"",6182,4.18,0.479,1.28,1.52,0.023,"[Fe/H]",3.16
"KOI-94","c","KOI-94 c","Transit",2013,10.423648,0.1013,0.43,15.6,4.32,0.91,1012,268.22,1,462,12.188,"",6182,4.18,0.479,1.28,1.52,0.023,"[Fe/H]",3.16
"KOI-94","d","KOI-94 d","Transit",2013,22.342989,0.1684,0.022,106,11.27,0.363,806,97.12,1,462,12.188,"",6182,4.18,0.479,1.28,1.52,0.023,"[Fe/H]",3.16
"KOI-94","e","KOI-94 e","Transit",2013,54.32031,0.3046,0.019,35,6.56,0.6,584,29.7,1,462,12.188,"",6182,4.18,0.479,1.28,1.52,0.023,"[Fe/H]",3.16
"KPS-1","b","KPS-1 b","Transit",2018,1.706291,0.0269,0,346.4347,11.545,1.31,1459,729,1,264.69,13.033,"K1 V",5165,4.47,-0.353,0.89,0.91,0.22,"[Fe/H]",NA
"Kapteyn","c","Kapteyn c","Radial Velocity",2014,121.54,0.311,0.23,7,2.54,2.35,NA,NA,1,3.93,8.845,"M0 V",3550,NA,-2,0.28,0.29,-0.89,"[M/H]",NA
"Kepler-10","b","Kepler-10 b","Transit",2011,0.837491,0.0172,0.06,4.60853,1.481,8,2130,3741.78,1,173,10.94,"",5627,4.35,0.053,0.91,1.06,-0.15,"[Fe/H]",9.12
"Kepler-10","c","Kepler-10 c","Transit",2011,45.294301,0.241,0,17.2,2.35,7.1,584,18.3,1,173,10.94,"",5627,4.35,0.053,0.91,1.06,-0.15,"[Fe/H]",9.12
"Kepler-100","b","Kepler-100 b","Transit",2014,6.88705,NA,0.13,7.34,1.32,14.25,NA,478.21,1,297,11.129,"",5825,4.12,0.4,1.08,1.49,0.02,"[Fe/H]",6.46
"Kepler-100","c","Kepler-100 c","Transit",2014,12.8159,NA,0.02,7.05,2.2,NA,NA,208.66,1,297,11.129,"",5825,4.12,0.4,1.08,1.49,0.02,"[Fe/H]",6.46
"Kepler-100","d","Kepler-100 d","Transit",2014,35.3331,NA,0.38,3,1.61,NA,NA,53.98,1,297,11.129,"",5825,4.12,0.4,1.08,1.49,0.02,"[Fe/H]",6.46
"Kepler-1000","b","Kepler-1000 b","Transit",2016,120.0181272,NA,NA,20.3,4.76,1.03,NA,18,1,925,13.192,"",6453,4.23,0.709,1.4,1.51,0.35,"[Fe/H]",1.26
"Kepler-1001","b","Kepler-1001 b","Transit",2016,14.30511983,NA,NA,10.1,3.15,1.78,NA,40.85,1,1009,15.33,"",5491,4.52,-0.283,0.9,0.88,-0.03,"[Fe/H]",4.68
